[2019-02-14 18:47:06,968]-[upload_cases.py]-INFO: 项目名称为：对象存储,对应的项目ID为：1
[2019-02-14 18:47:11,998]-[upload_cases.py]-INFO: 开始执行脚本
[2019-02-14 18:47:13,214]-[upload_cases.py]-INFO: 指定的用例集名称为：存储桶基本操作
[2019-02-14 18:47:13,214]-[upload_cases.py]-INFO: 开始读取Excel中的用例数据
[2019-02-14 18:47:13,229]-[upload_cases.py]-INFO: 指定Excel文档中总共有1条用例
[2019-02-14 18:47:13,229]-[upload_cases.py]-INFO: 读取数据完毕，开始解析数据
[2019-02-14 18:47:13,229]-[upload_cases.py]-INFO: 导入用例--[TEST-11243] 4.0对象路由-创建对象路由-非法对象路由名称
[2019-02-14 18:47:13,229]-[upload_cases.py]-INFO: testlink当前登录用户为：zhanghongrui
[2019-02-14 18:47:13,229]-[upload_cases.py]-INFO: 解析用例数据完毕，开始导入用例
[2019-02-14 18:47:13,726]-[upload_cases.py]-INFO: 导入用例<[TEST-11243] 4.0对象路由-创建对象路由-非法对象路由名称>成功
[2019-02-14 18:47:13,726]-[upload_cases.py]-INFO: 本次操作共提交1条数据，成功导入1条，失败0条
